Num_packet	Acc_X	Acc_Y	Acc_Z	Rot_X	Rot_Y	Rot_Z	Temp	Pre	    Alt	Temps_s	Temps_ms
[Id]        [m/s^2] [m/s^2] [m/s^2] [°/s]   [°/s]   [°/s]   [°C]    [Pa]    [m] [s]     [ms]
--------------------------------------------------------------------------------------------------------
597	-0.83	0.30	0.14	12.97	39.74	28.46	27.21	-1099	44330.00	127	56
598	-0.71	0.32	0.13	47.85	42.45	15.41	27.21	-1099	44330.00	127	256
599	-0.85	0.31	0.29	55.96	31.84	18.22	27.31	-1104	44330.00	127	456
600	-0.57	0.33	0.16	-11.14	73.31	15.99	27.31	-1107	44330.00	127	656
601	-0.76	0.36	0.03	50.69	18.80	41.75	27.26	-1104	44330.00	127	856
602	-0.97	0.45	0.33	46.30	57.76	28.77	27.26	-1104	44330.00	128	56
603	-0.84	0.45	0.20	31.54	8.61	31.39	27.17	-1090	44330.00	128	256
604	-0.72	0.33	0.46	15.23	70.41	36.66	27.31	-1096	44330.00	128	456
605	-0.56	0.38	0.32	52.00	10.78	28.95	27.21	-1087	44330.00	128	656
606	-0.63	0.45	0.49	59.80	7.73	27.18	27.31	-1087	44330.00	128	856
607	-0.67	0.43	0.40	34.56	18.92	12.42	27.26	-1087	44330.00	129	56
608	-0.66	0.43	0.40	49.83	7.06	20.78	27.26	-1084	44330.00	129	256
609	-0.69	0.35	0.36	33.10	20.41	26.45	27.21	-1090	44330.00	129	456
610	-0.68	0.37	0.29	30.57	24.50	27.36	27.31	-1087	44330.00	129	656
611	-0.70	0.39	0.36	34.83	19.13	24.25	27.21	-1090	44330.00	129	856
612	-0.66	0.40	0.49	55.63	7.91	33.03	27.35	-1087	44330.00	130	56
614	-0.68	0.32	0.34	43.16	0.14	20.78	27.26	-1087	44330.00	130	456
615	-0.72	0.41	0.35	12.55	44.38	41.02	27.31	-1084	44330.00	130	656
616	-0.58	0.39	0.49	22.97	32.85	24.22	27.31	-1084	44330.00	130	856
617	-0.64	0.38	0.37	47.43	11.60	26.84	27.31	-1087	44330.00	131	56
618	-0.67	0.35	0.36	23.22	25.93	30.84	27.26	-1079	44330.00	131	256
619	-0.68	0.39	0.35	28.71	24.59	24.19	27.35	-1066	44330.00	131	456
620	-0.67	0.39	0.35	35.14	19.37	31.51	27.35	-1073	44330.00	131	656
621	-0.63	0.37	0.35	39.71	18.06	27.61	27.31	-1066	44330.00	131	856
